Dataset,GPT Response,Marked Answer
age_ambiguous_short_answer.jsonl,batch_3UGnDxCclkc4aOD2hR80Gv7G,age_ambiguous_short_answer_marked_answer.txt
race_x_gender_ambiguous_fill_blank.jsonl,batch_SLXslwx2NQSks0ryMntBDK4Z,race_x_gender_ambiguous_fill_blank_marked_answer.txt
nationality_ambiguous_short_answer.jsonl,batch_IEAmVV5aJhar2gv57Qf73tQw,nationality_ambiguous_short_answer_marked_answer.txt
gender_identity_ambiguous_short_answer.jsonl,batch_Nvd3E0fpIlo2WnOj4oNq7xGx,gender_identity_ambiguous_short_answer_marked_answer.txt
ses_ambiguous_fill_blank.jsonl,batch_jSX8pcQslHTEOOsSmKmhxltJ,ses_ambiguous_fill_blank_marked_answer.txt
race_x_ses_ambiguous_short_answer.jsonl,batch_q7yfoNOIrciaYcjzCiTgZILw,race_x_ses_ambiguous_short_answer_marked_answer.txt
religion_disambiguated_short_answer.jsonl,batch_5RODkIDfNfq5E1zI6vbiGVmo,religion_disambiguated_short_answer_marked_answer.txt
nationality_ambiguous_fill_blank.jsonl,batch_IQOEAFKqQT54hQMua0rhQaDV,nationality_ambiguous_fill_blank_marked_answer.txt
gender_identity_disambiguated_short_answer.jsonl,batch_QnSuijFSdJrHD5rCu13VdyiK,gender_identity_disambiguated_short_answer_marked_answer.txt
race_ethnicity_disambiguated_short_answer.jsonl,batch_78TVR03SslQEkJZ8b1mTfEDy,race_ethnicity_disambiguated_short_answer_marked_answer.txt
religion_ambiguous_short_answer.jsonl,batch_ENaLRiM8l1qjyEOmbpi2LvR5,religion_ambiguous_short_answer_marked_answer.txt
disability_status_ambiguous_short_answer.jsonl,batch_soMgPuTZlpWOZDZhJ8SZVCQJ,disability_status_ambiguous_short_answer_marked_answer.txt
disability_status_disambiguated_fill_blank.jsonl,batch_7DP8FDyyNgnGA87E52G5sJ6d,disability_status_disambiguated_fill_blank_marked_answer.txt
race_x_ses_disambiguated_fill_blank.jsonl,batch_IkbiRnQGu2Dxm6SsF8bzDjf5,race_x_ses_disambiguated_fill_blank_marked_answer.txt
race_x_ses_disambiguated_short_answer.jsonl,batch_q3ekT765fipN8k341tPYGyUv,race_x_ses_disambiguated_short_answer_marked_answer.txt
religion_disambiguated_fill_blank.jsonl,batch_3buGC5mY8sGSTTSNphqe4Tyq,religion_disambiguated_fill_blank_marked_answer.txt
nationality_disambiguated_fill_blank.jsonl,batch_XyXYBmsgXIoPmT9c8syyh8Dh,nationality_disambiguated_fill_blank_marked_answer.txt
sexual_orientation_disambiguated_short_answer.jsonl,batch_Rh9SfUU5G8Q1qXy2lb8GS77z,sexual_orientation_disambiguated_short_answer_marked_answer.txt
religion_ambiguous_fill_blank.jsonl,batch_nAniBItVgCyObBeal2FpqX3J,religion_ambiguous_fill_blank_marked_answer.txt
race_x_ses_ambiguous_fill_blank.jsonl,batch_fp7iEwvn2vIGx0orwclW0J3e,race_x_ses_ambiguous_fill_blank_marked_answer.txt
race_ethnicity_ambiguous_short_answer.jsonl,batch_gO9OPfti3wqidDpRmiZn1ngf,race_ethnicity_ambiguous_short_answer_marked_answer.txt
sexual_orientation_ambiguous_fill_blank.jsonl,batch_qPfwxFKivdWOJXQkDFvRh4yb,sexual_orientation_ambiguous_fill_blank_marked_answer.txt
sexual_orientation_ambiguous_short_answer.jsonl,batch_MxUDplq5WLXUV0gMCPH12tKJ,sexual_orientation_ambiguous_short_answer_marked_answer.txt
ses_ambiguous_short_answer.jsonl,batch_bGKrNGu323AiAZaA1O73zzgx,ses_ambiguous_short_answer_marked_answer.txt
nationality_disambiguated_short_answer.jsonl,batch_EmxJR1dVgMd7kqqPPckesFD3,nationality_disambiguated_short_answer_marked_answer.txt
gender_identity_disambiguated_fill_blank.jsonl,batch_PXL5TK1WhxXuegvm63JTWU3w,gender_identity_disambiguated_fill_blank_marked_answer.txt
race_ethnicity_ambiguous_fill_blank.jsonl,batch_KJRQr4za5ySn72wrh1IBCv1w,race_ethnicity_ambiguous_fill_blank_marked_answer.txt
sexual_orientation_disambiguated_fill_blank.jsonl,batch_fsSZ51xLddl2SQMk5lH8gG1m,sexual_orientation_disambiguated_fill_blank_marked_answer.txt
disability_status_disambiguated_short_answer.jsonl,batch_WnbAaL8IhkKazIJx8APFRF9s,disability_status_disambiguated_short_answer_marked_answer.txt
physical_appearance_ambiguous_fill_blank.jsonl,batch_LEfuUDYF0blH8UPMcpRF729k,physical_appearance_ambiguous_fill_blank_marked_answer.txt
ses_disambiguated_short_answer.jsonl,batch_QnDUa9zDueRjk042OY4bY0GB,ses_disambiguated_short_answer_marked_answer.txt
physical_appearance_ambiguous_short_answer.jsonl,batch_wh9MzkihcWFFWtU3a0O7Ja5z,physical_appearance_ambiguous_short_answer_marked_answer.txt
race_x_gender_ambiguous_short_answer.jsonl,batch_RrEfcXbLEyKL4Abtc6lXXjp3,race_x_gender_ambiguous_short_answer_marked_answer.txt
age_disambiguated_fill_blank.jsonl,batch_vMEvJjxoC1mVoKXNGwoBU0B6,age_disambiguated_fill_blank_marked_answer.txt
ses_disambiguated_fill_blank.jsonl,batch_mwWlEx0t0Wik4MQa9lM99xnJ,ses_disambiguated_fill_blank_marked_answer.txt
age_ambiguous_fill_blank.jsonl,batch_aTyGRHJvh2dyXInY6sV4tIdt,age_ambiguous_fill_blank_marked_answer.txt
disability_status_ambiguous_fill_blank.jsonl,batch_nGHiXmbJK5DgBpbNniysyLU3,disability_status_ambiguous_fill_blank_marked_answer.txt
physical_appearance_disambiguated_short_answer.jsonl,batch_2lIOH17qu3jSvx8DDb6Rqdra,physical_appearance_disambiguated_short_answer_marked_answer.txt
race_x_gender_disambiguated_fill_blank.jsonl,batch_TbfDoLzCmGdIpvFzyCtXeLvT,race_x_gender_disambiguated_fill_blank_marked_answer.txt
gender_identity_ambiguous_fill_blank.jsonl,batch_h8T2ZOGNHfq3iLD0Um29d8UY,gender_identity_ambiguous_fill_blank_marked_answer.txt
race_x_gender_disambiguated_short_answer.jsonl,batch_iFOp8lAJ2jvUhYfJbV5xuWXY,race_x_gender_disambiguated_short_answer_marked_answer.txt
physical_appearance_disambiguated_fill_blank.jsonl,batch_04MWRwBOO11KOEtfMTWKnp64,physical_appearance_disambiguated_fill_blank_marked_answer.txt
age_disambiguated_short_answer.jsonl,batch_R325LxzKHJSAmSCIxgBpJZMu,age_disambiguated_short_answer_marked_answer.txt
race_ethnicity_disambiguated_fill_blank.jsonl,batch_0RIvRcIA7Ur82VEAIPtDR8h8,race_ethnicity_disambiguated_fill_blank_marked_answer.txt
